"cow" "frear" "rear" "fpar" "par1" "par24" "par56" "ll" "ul" "censor"
"262" 66 "front" 0 "2-4" 0 1 0 34 64 1
"263" 66 "rear" 1 "2-4" 0 1 0 34 64 1
"264" 66 "front" 0 "2-4" 0 1 0 204 244 1
"265" 67 "rear" 1 "2-4" 0 1 0 230 NA 0
"266" 67 "front" 0 "2-4" 0 1 0 230 NA 0
"267" 67 "rear" 1 "2-4" 0 1 0 230 NA 0
"268" 67 "front" 0 "2-4" 0 1 0 230 NA 0
"269" 68 "rear" 1 "2-4" 0 1 0 329 NA 0
"270" 68 "front" 0 "2-4" 0 1 0 329 NA 0
"271" 68 "rear" 1 "2-4" 0 1 0 329 NA 0
"272" 68 "front" 0 "2-4" 0 1 0 148 183 1
"273" 69 "rear" 1 "2-4" 0 1 0 172 235 1
"274" 69 "front" 0 "2-4" 0 1 0 291 NA 0
"275" 69 "rear" 1 "2-4" 0 1 0 291 NA 0
"276" 69 "front" 0 "2-4" 0 1 0 291 NA 0
"277" 70 "rear" 1 "1" 1 0 0 41 73 1
"278" 70 "front" 0 "1" 1 0 0 41 73 1
"279" 70 "rear" 1 "1" 1 0 0 41 73 1
"280" 70 "front" 0 "1" 1 0 0 41 73 1
"281" 71 "rear" 1 ">4" 0 0 1 38 66 1
"282" 71 "front" 0 ">4" 0 0 1 38 66 1
"283" 71 "rear" 1 ">4" 0 0 1 38 66 1
"284" 71 "front" 0 ">4" 0 0 1 38 66 1
"285" 72 "rear" 1 "1" 1 0 0 167 195 1
"286" 72 "front" 0 "1" 1 0 0 266 300 1
"287" 72 "rear" 1 "1" 1 0 0 20 44 1
"288" 72 "front" 0 "1" 1 0 0 300 NA 0
"289" 73 "rear" 1 "1" 1 0 0 NA 48 1
"290" 73 "front" 0 "1" 1 0 0 266 293 1
"291" 73 "rear" 1 "1" 1 0 0 266 293 1
"292" 73 "front" 0 "1" 1 0 0 77 126 1
"293" 74 "rear" 1 "1" 1 0 0 240 NA 0
"294" 74 "front" 0 "1" 1 0 0 240 NA 0
"295" 74 "rear" 1 "1" 1 0 0 240 NA 0
"296" 74 "front" 0 "1" 1 0 0 240 NA 0
"297" 75 "rear" 1 "1" 1 0 0 304 NA 0
"298" 75 "front" 0 "1" 1 0 0 28 62 1
"299" 75 "rear" 1 "1" 1 0 0 28 62 1
"300" 75 "front" 0 "1" 1 0 0 304 NA 0
"301" 76 "rear" 1 "1" 1 0 0 32 67 1
"302" 76 "front" 0 "1" 1 0 0 32 67 1
"303" 76 "rear" 1 "1" 1 0 0 32 67 1
"304" 76 "front" 0 "1" 1 0 0 32 67 1
"305" 77 "rear" 1 "2-4" 0 1 0 28 62 1
"306" 77 "front" 0 "2-4" 0 1 0 148 184 1
"307" 77 "rear" 1 "2-4" 0 1 0 241 272 1
"308" 77 "front" 0 "2-4" 0 1 0 118 148 1
"309" 78 "rear" 1 "2-4" 0 1 0 47 77 1
"310" 78 "front" 0 "2-4" 0 1 0 313 NA 0
"311" 78 "rear" 1 "2-4" 0 1 0 313 NA 0
"312" 78 "front" 0 "2-4" 0 1 0 124 163 1
"313" 79 "rear" 1 ">4" 0 0 1 162 188 1
"314" 79 "front" 0 ">4" 0 0 1 72 134 1
"315" 79 "rear" 1 ">4" 0 0 1 72 134 1
"316" 79 "front" 0 ">4" 0 0 1 72 134 1
"317" 80 "rear" 1 "2-4" 0 1 0 170 226 1
"318" 80 "front" 0 "2-4" 0 1 0 73 107 1
"319" 80 "rear" 1 "2-4" 0 1 0 19 44 1
"320" 80 "front" 0 "2-4" 0 1 0 226 261 1
"321" 81 "rear" 1 ">4" 0 0 1 137 168 1
"322" 81 "front" 0 ">4" 0 0 1 137 168 1
"323" 81 "rear" 1 ">4" 0 0 1 48 104 1
"324" 81 "front" 0 ">4" 0 0 1 137 168 1
"325" 82 "rear" 1 "2-4" 0 1 0 35 98 1
"326" 82 "front" 0 "2-4" 0 1 0 35 98 1
"327" 82 "rear" 1 "2-4" 0 1 0 NA 35 1
"328" 82 "front" 0 "2-4" 0 1 0 35 98 1
"329" 83 "rear" 1 "2-4" 0 1 0 73 98 1
"330" 83 "front" 0 "2-4" 0 1 0 194 229 1
"331" 83 "rear" 1 "2-4" 0 1 0 292 NA 0
"332" 83 "front" 0 "2-4" 0 1 0 194 229 1
"333" 84 "rear" 1 "2-4" 0 1 0 259 316 1
"334" 84 "front" 0 "2-4" 0 1 0 162 189 1
"335" 84 "rear" 1 "2-4" 0 1 0 22 46 1
"336" 84 "front" 0 "2-4" 0 1 0 259 316 1
"337" 85 "rear" 1 "1" 1 0 0 21 47 1
"338" 85 "front" 0 "1" 1 0 0 21 47 1
"339" 85 "rear" 1 "1" 1 0 0 21 47 1
"340" 85 "front" 0 "1" 1 0 0 21 47 1
"341" 86 "rear" 1 "2-4" 0 1 0 44 71 1
"342" 86 "front" 0 "2-4" 0 1 0 44 71 1
"343" 86 "rear" 1 "2-4" 0 1 0 44 71 1
"344" 86 "front" 0 "2-4" 0 1 0 44 71 1
"345" 87 "rear" 1 "1" 1 0 0 25 56 1
"346" 87 "front" 0 "1" 1 0 0 201 231 1
"347" 87 "rear" 1 "1" 1 0 0 25 56 1
"348" 87 "front" 0 "1" 1 0 0 25 56 1
"349" 88 "rear" 1 "2-4" 0 1 0 207 270 1
"350" 88 "front" 0 "2-4" 0 1 0 173 207 1
"351" 88 "rear" 1 "2-4" 0 1 0 144 173 1
"352" 88 "front" 0 "2-4" 0 1 0 326 NA 0
"353" 89 "rear" 1 "1" 1 0 0 204 234 1
"354" 89 "front" 0 "1" 1 0 0 110 136 1
"355" 89 "rear" 1 "1" 1 0 0 234 262 1
"356" 89 "front" 0 "1" 1 0 0 110 136 1
"357" 90 "rear" 1 "2-4" 0 1 0 130 188 1
"358" 90 "front" 0 "2-4" 0 1 0 251 NA 0
"359" 90 "rear" 1 "2-4" 0 1 0 64 103 1
"360" 90 "front" 0 "2-4" 0 1 0 188 215 1
"361" 91 "rear" 1 "1" 1 0 0 133 NA 0
"362" 91 "front" 0 "1" 1 0 0 76 101 1
"363" 91 "rear" 1 "1" 1 0 0 133 NA 0
"364" 91 "front" 0 "1" 1 0 0 133 NA 0
"365" 92 "rear" 1 "1" 1 0 0 46 88 1
"366" 92 "front" 0 "1" 1 0 0 46 88 1
"367" 92 "rear" 1 "1" 1 0 0 46 88 1
"368" 92 "front" 0 "1" 1 0 0 46 88 1
"369" 93 "rear" 1 "1" 1 0 0 103 130 1
"370" 93 "front" 0 "1" 1 0 0 103 130 1
"371" 93 "rear" 1 "1" 1 0 0 46 69 1
"372" 93 "front" 0 "1" 1 0 0 46 69 1
"373" 94 "rear" 1 "2-4" 0 1 0 86 122 1
"374" 94 "front" 0 "2-4" 0 1 0 122 154 1
"375" 94 "rear" 1 "2-4" 0 1 0 154 179 1
"376" 94 "front" 0 "2-4" 0 1 0 86 122 1
"377" 95 "rear" 1 "2-4" 0 1 0 275 307 1
"378" 95 "front" 0 "2-4" 0 1 0 38 95 1
"379" 95 "rear" 1 "2-4" 0 1 0 38 95 1
"380" 95 "front" 0 "2-4" 0 1 0 307 NA 0
"381" 96 "rear" 1 "1" 1 0 0 169 NA 0
"382" 96 "front" 0 "1" 1 0 0 169 NA 0
"383" 96 "rear" 1 "1" 1 0 0 169 NA 0
"384" 96 "front" 0 "1" 1 0 0 169 NA 0
"385" 97 "rear" 1 "2-4" 0 1 0 46 72 1
"386" 97 "front" 0 "2-4" 0 1 0 46 72 1
"387" 97 "rear" 1 "2-4" 0 1 0 72 107 1
"388" 97 "front" 0 "2-4" 0 1 0 46 72 1
"389" 98 "rear" 1 "2-4" 0 1 0 110 137 1
"390" 98 "front" 0 "2-4" 0 1 0 74 110 1
"391" 98 "rear" 1 "2-4" 0 1 0 74 110 1
"392" 98 "front" 0 "2-4" 0 1 0 46 74 1
"393" 99 "rear" 1 "2-4" 0 1 0 38 73 1
"394" 99 "front" 0 "2-4" 0 1 0 190 228 1
"395" 99 "rear" 1 "2-4" 0 1 0 129 157 1
"396" 99 "front" 0 "2-4" 0 1 0 73 129 1
"397" 100 "rear" 1 "2-4" 0 1 0 61 92 1
"398" 100 "front" 0 "2-4" 0 1 0 61 92 1
"399" 100 "rear" 1 "2-4" 0 1 0 61 92 1
"400" 100 "front" 0 "2-4" 0 1 0 61 92 1
